Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VE7RVF,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
1,VE7TEL,145.170000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,VE7RHS,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
3,SimLBVanDta,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,SimVanCoq,146.460000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
5,SimVanUBC,147.420000,,0.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
6,NatCall,146.520000,,0.000000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
7,VE7NSRSunRun,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,VE7RBY,145.350000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
9,RVF Output,145.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,TEL Output,145.170000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,VE7RPT,146.940000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,SW PREOC,146.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,InterMunicipal,146.565000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,InterMunicipal,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,InterMunicipal,146.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,InterMunicipal,146.445000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,EMBC,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,SNPRepeater,145.290000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
19,NorthShrEmrg,147.200000,+,0.600000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
20,IPARNBBy,147.060000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,CoqltlmMndy730,145.310000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
22,NWARCNewWst,145.390000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
23,RchmndTues7pm,147.140000,+,0.600000,Tone,79.7,88.5,023,NN,FM,5.00,,,,,,
24,DeltaARS,147.340000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
25,WhiteRock,146.900000,-,0.600000,Tone,91.5,88.5,023,NN,FM,5.00,,,,,,
26,SrryTues730,147.360000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
27,LanglyARA,147.380000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
28,MpleRdge,146.800000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
29,SqmshARC,147.000000,+,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
30,Whistler,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
31,Pmberton,147.000000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
32,SquamishPmb,146.980000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,Abby,146.610000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
34,AbbyMon7pm,147.280000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
35,Chllwck,147.100000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
